Scholarship Name,Eligibility,Deadline,Link
IISER Pune Summer Student Programme 2025,"be a non-IISER Pune student be pursuing (at the time of application) studies in the 2nd, 3rd, or 4th year of B.Sc./B.Tech/B.E. or equivalentOR be pursuing studies in the1st year of M.Sc./M.Tech or equivalent have obtained a minimum of 60% (or equivalent) in overall gradesOR have obtained80% in the particular stream(s) of interest",N/A,https://www.buddy4study.com/scholarship/iiser-pune-summer-student-programme-2025
TWAS-CNPq Postgraduate Fellowship Programme  2025,"be a citizen of a developing country including India hold a master’s degree in a natural science field must be fluent in Portuguese, Spanish, or English we'll need some assurance that you plan to return to your home country after the fellowship during the fellowship, we ask that you focus solely on your research and not take on any other commitments",N/A,https://www.buddy4study.com/scholarship/twas-cnpq-postgraduate-fellowship-programme-2025
IIIT Kalyani Junior Research Fellowship 2025,be pursuing B.E./B.Tech or M.E./M.Tech in Computer Science and Engineering/Information Technology or equivalent have secured a minimum of 60% marks throughout their course of study,N/A,https://www.buddy4study.com/scholarship/iiit-kalyani-junior-research-fellowship-2025
Think Big Undergraduate Scholarship University of Bristol 2025,have applied to an undergraduate course at the University of Bristol and possess the university application ID be planning to start their course in September 2025 be classified as overseas students for fee purposes not be receiving any other funding,N/A,https://www.buddy4study.com/scholarship/think-big-undergraduate-scholarship-university-of-bristol-2025-26
"Pre-Matric Scholarship for OBC Students, Tripura 2024-25","be a citizen of India be domiciled in Tripura belong to the Other Backwards Classes category of the state be studying in classes 1 to 10 in a government/government-recognised institution of the state have an annual family income not exceeding ₹2,50,000",N/A,https://www.buddy4study.com/scholarship/pre-matric-scholarship-for-obc-students-tripura-2024-25
"PM Yasasvi Post-Matric Scholarship Scheme for OBC, EBC and DNT Students, Chandigarh 2024-25","be an Indian national be domiciled in Chandigarh, as notified by the Central/State Government/UT administration belong to the Other Backward Classes (OBC), Economically Backward Class (EBC), or De-Notified Tribes (DNT) category have passed the matriculation or higher secondary examination from a recognised university or board of education be pursuing a post-matriculation or post-secondary course from a recognised institution/college have a total annual family income below ₹2,50,000 from all sources",N/A,https://www.buddy4study.com/scholarship/pm-yasasvi-post-matric-scholarship-scheme-for-obc-ebc-and-dnt-students-chandigarh-2024-25
UCL India Excellence Scholarship 2025-26,be permanently domiciled in India hold a bachelor’s degree OR be enrolled in the final year of a bachelor’s degree in one of the institutions listed in the Top 100 of the Government of India’s National Institutional Ranking Framework (NIRF ) have secured a GPA in their bachelor’s degree which is equivalent to a UK first-class degree,N/A,https://www.buddy4study.com/scholarship/ucl-india-excellence-scholarship-2025-26
Vice-Chancellor’s Excellence Scholarships 2025-26,be an Indian national be assessed as an international student for fee purposes have or expect to have the equivalent of an upper second-class UK honours degree or above hold an offer for an eligible master’s degree program at the university’s city centre campus for the year 2025-26,N/A,https://www.buddy4study.com/scholarship/vice-chancellors-excellence-scholarships-2025-26
"Dr. Ambedkar Medhavi Chhattar Sanshodhit Yojna, Haryana 2024-25","be a citizen of India be a domicile of Haryana belong to the Backward Classes, Scheduled Castes, Nomadic, DNTs, Semi-Nomadic, Vimukt Jati, or Tapriwas Jaati be pursuing education in classes 11 to postgraduation level have acquired a minimum of 65% marks in the last qualifying examination have an annual family income not exceeding ₹4,00,000",N/A,https://www.buddy4study.com/scholarship/dr-ambedkar-medhavi-chhattar-sanshodhit-yojna-haryana-2024-25
Goa Institute of Management Summer Research Internship Program 2025,be a student pursuing undergraduate/postgraduate studies at the Goa Institute of Management in one of the following areas:Big Data AnalyticsFinance & AccountingGeneral Management & Public PolicyHealthcare ManagementInformation Technology & Operations ManagementMarketingOrganizational Behavior & Human Resource Management​Strategy & Consulting Big Data Analytics Finance & Accounting General Management & Public Policy Healthcare Management Information Technology & Operations Management Marketing Organizational Behavior & Human Resource Management ​Strategy & Consulting,N/A,https://www.buddy4study.com/scholarship/goa-institute-of-management-summer-research-internship-program-2025
GIST International Global Intern Program 2025,be an international student be a senior undergraduate or master’s degree student have secured a GPA of 3.0 or above (on a 4.5 scale) have secured a TOEFL iBT score of 80 or its equivalent in an English language proficiency test,N/A,https://www.buddy4study.com/scholarship/gist-international-global-intern-program-2025
"Post-Matric Scholarship, West Bengal 2024-25","be a domicile of West Bengal belong to the minority section of West Bengal be studying Class 11 to Ph.D. level in a School/Institution recognized by an educational Board/University of the State/Central Government have secured at least 50% marks or equivalent in the previous examination have a family income of less than ₹2,00,000 per annum",N/A,https://www.buddy4study.com/scholarship/post-matric-scholarship-west-bengal-2024-25
IKS Post Doctoral Fellowship 2025-26,"be an Indian citizen/Overseas citizen of India (OCI) be holding a Ph.D. degree from a recognised university (candidates who have submitted their thesis and are awaiting the degree conferral are also eligible, but if selected, their fellowship amount will be lower until the degree is awarded) be below 35 years of age at the application",N/A,https://www.buddy4study.com/scholarship/iks-post-doctoral-fellowship-2025-26
"Merit Scholarship Scheme for Class 10 and 12 Students, Manipur 2024","be a domicile of Manipur have passed Classes 10 and 12 have passed examination from the Board of Secondary Education (BSE) and the Council of Higher Secondary Examination (CHSE), Manipur",N/A,https://www.buddy4study.com/scholarship/merit-scholarship-scheme-for-class-10-and-12-students-manipur
"Talent Support Stipend Programme, West Bengal 2024-25","be an Indian citizen be a resident of West Bengal belong to one of the designated minority communities: Christian, Muslim, Sikh, Buddhist, Jain, or Parsi be currently enrolled in studies from Class 11 to Ph.D. level. at a recognised institution within the state have secured a minimum of 50% marks in the last qualifying examination have an annual family income of less than ₹2,00,000 from all sources",N/A,https://www.buddy4study.com/scholarship/talent-support-stipend-programme-west-bengal--2024-25
ADB Internship Program 2025,"be a national of ADB member country, including India be enrolled in a master's or Ph.D. level program at a school in one of the ADB member nations, both before and after the internship assignment be engaged in academic study in a field directly related to ADB's work possess an excellent command of English have professional experience relevant to the assignment",N/A,https://www.buddy4study.com/scholarship/adb-internship-program-2025
"Post-Matric Scholarship for OBC Students, Tripura 2024-25","be an Indian citizen be a domicile of Tripura belong to the Other Backward Class (OBC) community (as notified by the Central or State Government/UT administration) be studying post-matriculation or post-secondary courses in a recognised institution/school/university have an annual parent(s)/guardian(s) income of not more than ₹1,50,000, including their own income (if employed)",N/A,https://www.buddy4study.com/scholarship/post-matric-scholarship-for-obc-students-tripura-2024-25
